microservice, begin request time, end request time, client ip, client port, function, microservice instance
songs-ms, 2018-05-27 15:12:15.315000, 2018-05-27 15:12:15.762000, 172.18.0.9, 50490, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.316000, 2018-05-27 15:12:15.959000, 172.18.0.9, 50500, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.323000, 2018-05-27 15:12:16.033000, 172.18.0.9, 50510, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.325000, 2018-05-27 15:12:16.214000, 172.18.0.9, 50518, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.328000, 2018-05-27 15:12:16.208000, 172.18.0.9, 50520, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.329000, 2018-05-27 15:12:15.937000, 172.18.0.9, 50522, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.332000, 2018-05-27 15:12:16.235000, 172.18.0.9, 50526, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.333000, 2018-05-27 15:12:16.179000, 172.18.0.9, 50524, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.333000, 2018-05-27 15:12:16.163000, 172.18.0.9, 50530, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.343000, 2018-05-27 15:12:16.073000, 172.18.0.9, 50540, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.344000, 2018-05-27 15:12:16.143000, 172.18.0.9, 50550, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.344000, 2018-05-27 15:12:16.156000, 172.18.0.9, 50536, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.345000, 2018-05-27 15:12:15.853000, 172.18.0.9, 50556, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.344000, 2018-05-27 15:12:15.958000, 172.18.0.9, 50532, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.348000, 2018-05-27 15:12:16.246000, 172.18.0.9, 50534, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.350000, 2018-05-27 15:12:15.778000, 172.18.0.9, 50546, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.350000, 2018-05-27 15:12:16.147000, 172.18.0.9, 50542, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.349000, 2018-05-27 15:12:16.110000, 172.18.0.9, 50552, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.352000, 2018-05-27 15:12:16.135000, 172.18.0.9, 50538, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.355000, 2018-05-27 15:12:16.046000, 172.18.0.9, 50560, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.355000, 2018-05-27 15:12:16.072000, 172.18.0.9, 50548, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.360000, 2018-05-27 15:12:15.938000, 172.18.0.9, 50562, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.360000, 2018-05-27 15:12:16.244000, 172.18.0.9, 50564, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.396000, 2018-05-27 15:12:16.246000, 172.18.0.9, 50592, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.397000, 2018-05-27 15:12:15.991000, 172.18.0.9, 50598, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.397000, 2018-05-27 15:12:16.172000, 172.18.0.9, 50606, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.398000, 2018-05-27 15:12:16.287000, 172.18.0.9, 50594, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.398000, 2018-05-27 15:12:16.202000, 172.18.0.9, 50590, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.418000, 2018-05-27 15:12:16.072000, 172.18.0.9, 50610, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.398000, 2018-05-27 15:12:16.076000, 172.18.0.9, 50586, GET -> songs-ms/songs, 598b9f73b150:5001
songs-ms, 2018-05-27 15:12:15.416000, 2018-05-27 15:12:16.224000, 172.18.0.9, 50608, GET -> songs-ms/songs, 598b9f73b150:5001
